subID,trial,responseTime,trueTime,ansTime,condition,index
8,9,2016-02,2011-10,2011-10,Possible Past,0
8,10,2016-02,2014-10,2014-10,Possible Past,0
8,11,2016-02,2014-09,2015-01,Possible Past,4
8,12,2016-02,2014-12,2014-12,Possible Past,0
8,13,2016-02,2019-09,2023-06,Possible Future,44
8,14,2016-02,2019-06,2019-09,Possible Future,3
8,15,2016-02,2016-08,2016-10,Possible Future,2
8,16,2016-02,2016-09,2016-09,Possible Future,0
8,17,2016-02,2016-07,2016-08,Possible Future,1
8,18,2016-02,2016-04,2016-03,Possible Future,-1
10,1,2016-02,2013-12,2013-12,Memory,0
10,2,2016-02,2014-04,2015-04,Memory,12
10,3,2016-02,2013-12,2013-12,Memory,0
10,4,2016-02,2015-11,2015-11,Memory,0
10,5,2016-02,2015-12,2015-12,Memory,0
10,6,2016-02,2015-11,2015-12,Memory,1
10,7,2016-02,2009-03,2009-03,Possible Past,0
10,8,2016-02,2015-04,2015-03,Possible Past,0
10,9,2016-02,2015-03,2015-03,Possible Past,0
10,10,2016-02,2015-09,2015-09,Possible Past,0
10,11,2016-02,2015-01,2016-01,Possible Past,12
10,12,2016-02,2015-11,2015-11,Possible Past,0
10,13,2016-02,2020-06,2020-02,Possible Future,-4
10,14,2016-02,2026-06,2026-05,Possible Future,0
10,15,2016-02,2017-06,2017-06,Possible Future,0
10,16,2016-02,2016-05,2016-05,Possible Future,0
10,17,2016-02,2026-12,2026-12,Possible Future,0
10,18,2016-02,2019-05,2018-03,Possible Future,-11
12,1,2016-03,2010-11,2010-11,Memory,0
12,2,2016-03,2007-10,2007-10,Memory,0
12,3,2016-03,2009-09,2009-09,Memory,0
12,4,2016-03,2008-06,2008-06,Memory,0
12,5,2016-03,2006-08,2006-08,Memory,0
12,6,2016-03,2009-05,2009-05,Memory,0
12,7,2016-03,2012-09,2012-09,Possible Past,0
12,8,2016-03,2009-08,2009-08,Possible Past,0
12,9,2016-03,2011-12,2011-12,Possible Past,0
12,10,2016-03,2011-02,2011-02,Possible Past,0
12,11,2016-03,2011-06,2011-06,Possible Past,0
12,12,2016-03,2010-07,2010-07,Possible Past,0
12,13,2016-03,2016-10,2016-10,Possible Future,0
12,14,2016-03,2020-05,2020-05,Possible Future,0
12,15,2016-03,2017-09,2017-09,Possible Future,0
12,16,2016-03,2017-10,2017-10,Possible Future,0
12,17,2016-03,2019-12,2020-02,Possible Future,12
12,18,2016-03,2016-07,2016-07,Possible Future,0
14,1,2016-03,2012-04,2013-04,Memory,12
14,2,2016-03,2016-01,2016-01,Memory,0
14,3,2016-03,2010-10,2010-10,Memory,0
14,4,2016-03,2013-10,2013-10,Memory,0
14,5,2016-03,2010-01,2010-01,Memory,0
14,6,2016-03,2013-04,2014-04,Memory,12
14,7,2016-03,2010-07,2012-06,Possible Past,23
14,8,2016-03,2007-02,2007-04,Possible Past,2
14,9,2016-03,2009-12,2011-12,Possible Past,24
14,10,2016-03,2014-11,2015-04,Possible Past,5
14,11,2016-03,2009-11,2013-11,Possible Past,48
14,12,2016-03,2012-11,2011-12,Possible Past,-11
14,13,2016-03,2017-05,2018-03,Possible Future,10
14,14,2016-03,2017-01,2019-02,Possible Future,23
14,15,2016-03,2019-08,2022-03,Possible Future,31
14,16,2016-03,2016-05,2016-04,Possible Future,-2
14,17,2016-03,2017-09,2017-05,Possible Future,-4
14,18,2016-03,2018-02,2018-02,Possible Future,0
15,1,2016-03,2013-04,2013-04,Memory,0
15,2,2016-03,2014-08,2014-07,Memory,-1
15,3,2016-03,2014-07,2014-08,Memory,1
15,4,2016-03,2016-02,2016-03,Memory,1
15,5,2016-03,2012-12,2012-12,Memory,0
15,6,2016-03,2013-08,2013-08,Memory,0
15,7,2016-03,2008-01,2007-04,Possible Past,-10
15,8,2016-03,2013-08,2013-10,Possible Past,2
15,9,2016-03,2013-09,2013-09,Possible Past,0
15,10,2016-03,2011-08,2012-12,Possible Past,16
15,11,2016-03,2010-08,2015-12,Possible Past,64
15,12,2016-03,2011-10,2014-12,Possible Past,38
15,13,2016-03,2016-08,2016-01,Possible Future,-5
15,14,2016-03,2022-05,2021-05,Possible Future,-12
15,15,2016-03,2016-12,2016-08,Possible Future,-4
15,16,2016-03,2020-09,2020-05,Possible Future,-4
15,17,2016-03,2020-10,2020-05,Possible Future,-4
15,18,2016-03,2016-09,2016-10,Possible Future,1
16,1,2016-03,2012-10,2012-10,Memory,0
16,2,2016-03,2015-03,2015-03,Memory,0
16,3,2016-03,2014-12,2014-12,Memory,0
16,4,2016-03,2014-09,2015-11,Memory,2
16,5,2016-03,2014-07,2014-07,Memory,0
16,6,2016-03,2014-05,2014-06,Memory,1
16,7,2016-03,2009-04,2009-02,Possible Past,2
16,8,2016-03,2015-11,2015-12,Possible Past,1
16,9,2016-03,2015-01,2015-01,Possible Past,0
16,10,2016-03,2015-10,2015-10,Possible Past,0
16,11,2016-03,2016-02,2013-08,Possible Past,32
16,12,2016-03,2016-01,2016-09,Possible Past,8
16,13,2016-03,2016-10,2016-10,Possible Future,0
16,14,2016-03,2016-07,2019-06,Possible Future,-1
16,15,2016-03,2016-06,2016-07,Possible Future,1
16,16,2016-03,2023-05,2025-03,Possible Future,24
16,17,2016-03,2017-10,2020-10,Possible Future,24
16,18,2016-03,2016-05,2016-05,Possible Future,0
18,1,2016-04,2015-08,2014-09,Memory,-11
18,2,2016-04,2015-05,2015-05,Memory,0
18,3,2016-04,2015-09,2015-09,Memory,0
18,4,2016-04,2015-04,2015-04,Memory,0
18,5,2016-04,2015-07,2015-07,Memory,0
18,6,2016-04,2015-06,2015-06,Memory,0
18,7,2016-04,2013-04,2013-04,Possible Past,0
18,8,2016-04,2013-07,2013-07,Possible Past,0
18,9,2016-04,2013-06,2013-06,Possible Past,0
18,10,2016-04,2013-05,2014-05,Possible Past,12
18,11,2016-04,2013-08,2014-07,Possible Past,13
18,12,2016-04,2013-09,2013-09,Possible Past,0
18,13,2016-04,2016-12,2016-09,Possible Future,3
18,14,2016-04,2016-11,2016-11,Possible Future,0
18,15,2016-04,2017-03,2017-03,Possible Future,0
18,16,2016-04,2016-10,2016-10,Possible Future,0
18,17,2016-04,2017-02,2016-11,Possible Future,-3
18,18,2016-04,2017-01,2017-01,Possible Future,0
19,1,2016-04,2009-11,2008-11,Memory,-12
19,2,2016-04,2006-06,2007-08,Memory,13
19,3,2016-04,2015-10,2015-10,Memory,0
19,4,2016-04,2013-03,2013-03,Memory,0
19,5,2016-04,2016-02,2016-02,Memory,0
